emisor,anio,ingresos,utilidad_operacional,dya,intereses,utilidad_neta,deuda,caja,activos,activo_corriente,pasivo_corriente,patrimonio,flujo_operativo,deuda_corto_plazo,intereses_pagados,impuestos_pagados,capex,dividendos_pagados,utilidades_retenidas,goodwill,intangibles,pasivo_total,activos_tangibles,ebitda,margen_ebitda,margen_neto,deuda_ebitda,deuda_neta_ebitda,cobertura_intereses,razon_corriente,caja_activos,cash_ratio,deuda_patrimonio,ingresos_aj,ebitda_aj,deuda_ebitda_aj,cobertura_aj,margen_ebitda_aj,nivel_deuda,nivel_cobertura,perfil_fin,perfil_fin_nombre,ancla_sp,perfil_negocio,ancla_supuesto,pd_sp_pct,pd_supuesto_pct,ffo,fuentes_12m,usos_12m,liq_ratio,liquidez,ancla_con_liquidez,tasa_implicita,cobertura_descompuesta
CELSIA,2025,5.4,1.17,0.44,0.68,0.36,5.01,0.28,14.2,2.29,3.03,5.16,2.02,1.08,0.6,0.18,1.33,0.29,-0.15,0.25,0.23,9.04,13.72,1.61,0.3,0.07,3.11,2.94,2.37,0.76,0.02,0.09,0.97,5.4,1.61,3.1118012422360244,2.3676470588235294,0.29814814814814816,4,5,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.8300000000000003,1.1100000000000003,2.7,0.4111111111111112,débil,b- (tope liquidez),0.13572854291417166,2.3676470588235294
ENEL,2015,3.23,1.56,0.16,0.19,0.89,3.69,0.3,8.84,0.77,1.57,3.56,1.09,0.61,0.32,0.48,0.68,1.05,1.48,0.0,0.09,5.28,8.75,1.72,0.53,0.28,2.15,1.97,9.05,0.49,0.03,0.19,1.04,3.23,1.72,2.145348837209302,9.052631578947368,0.5325077399380805,2,3,2,modest,a+/a,strong,bbb+,0.2,0.5,0.9199999999999999,1.22,2.34,0.5213675213675214,débil,b- (tope liquidez),0.051490514905149054,9.052631578947368
ENEL,2016,3.49,1.68,0.18,0.49,0.75,4.2,0.62,9.04,0.87,1.28,3.5,1.58,0.46,0.45,0.46,0.31,0.8,1.47,0.0,0.1,5.54,8.94,1.86,0.53,0.21,2.26,1.92,3.8,0.68,0.07,0.48,1.2,3.49,1.86,2.258064516129032,3.795918367346939,0.5329512893982808,2,4,3,intermediate,a-/bbb+,strong,bbb/bbb-,0.2,0.5,0.9500000000000002,1.5700000000000003,1.57,1.0000000000000002,menos que adecuada,bb+ (tope liquidez),0.11666666666666665,3.79591836734694
ENEL,2017,3.4,1.81,0.2,0.38,0.89,3.98,0.56,9.03,0.98,1.2,3.85,1.51,0.46,0.37,0.42,0.32,0.6,1.62,0.0,0.07,5.18,8.96,2.01,0.59,0.26,1.98,1.7,5.29,0.82,0.06,0.47,1.03,3.4,2.01,1.9800995024875623,5.289473684210526,0.5911764705882352,2,4,3,intermediate,a-/bbb+,strong,bbb/bbb-,0.2,0.5,1.2199999999999998,1.7799999999999998,1.38,1.289855072463768,adecuada,a-/bbb+,0.09547738693467336,5.2894736842105265
ENEL,2018,3.67,1.87,0.2,0.32,1.02,3.68,0.64,9.25,1.1,1.67,4.24,1.86,0.76,0.31,0.47,0.26,0.6,1.88,0.0,0.08,5.01,9.17,2.07,0.56,0.28,1.78,1.47,6.47,0.66,0.07,0.38,0.87,3.67,2.07,1.777777777777778,6.468749999999999,0.5640326975476839,2,3,2,modest,a+/a,strong,bbb+,0.2,0.5,1.2899999999999998,1.9299999999999997,1.62,1.1913580246913578,menos que adecuada,bb+ (tope liquidez),0.08695652173913043,6.46875
ENEL,2019,4.07,2.09,0.22,0.29,1.23,3.01,0.29,9.12,0.83,1.28,4.74,1.64,0.33,0.27,0.48,0.35,0.7,2.18,0.0,0.11,4.38,9.01,2.31,0.57,0.3,1.3,1.18,7.97,0.65,0.03,0.23,0.64,4.07,2.31,1.303030303030303,7.965517241379311,0.5675675675675675,1,3,2,modest,a+/a,strong,bbb+,0.2,0.5,1.56,1.85,1.38,1.3405797101449277,adecuada,a+/a,0.09634551495016612,7.9655172413793105
ENEL,2020,4.25,2.24,0.23,0.28,1.28,2.76,0.82,9.5,1.21,1.96,5.16,2.04,0.91,0.22,0.64,0.31,0.83,2.58,0.0,0.11,4.34,9.39,2.47,0.58,0.3,1.12,0.79,8.82,0.62,0.09,0.42,0.53,4.25,2.47,1.117408906882591,8.821428571428571,0.5811764705882353,1,3,2,modest,a+/a,strong,bbb+,0.2,0.5,1.6099999999999999,2.4299999999999997,2.05,1.1853658536585365,menos que adecuada,bb+ (tope liquidez),0.10144927536231886,8.82142857142857
ENEL,2021,4.72,2.7,0.24,0.18,1.71,1.89,0.21,9.04,0.67,1.52,5.1,2.29,0.63,0.23,0.67,0.3,1.99,2.1,0.0,0.19,3.93,8.85,2.94,0.62,0.36,0.64,0.57,16.33,0.44,0.02,0.14,0.37,4.72,2.94,0.6428571428571428,16.333333333333332,0.6228813559322034,1,1,1,minimal,aa/aa-,strong,a/a-,0.1,0.2,2.04,2.25,2.92,0.7705479452054794,débil,b- (tope liquidez),0.09523809523809523,16.333333333333336
ENEL,2022,12.1,5.08,0.86,0.77,2.96,3.95,1.22,29.66,4.73,5.43,16.31,4.86,1.53,0.62,1.24,2.77,3.66,3.14,0.14,2.05,13.35,27.47,5.94,0.49,0.24,0.66,0.46,7.71,0.87,0.04,0.22,0.24,12.1,5.94,0.664983164983165,7.714285714285714,0.49090909090909096,1,3,2,modest,a+/a,strong,bbb+,0.2,0.5,4.08,5.3,7.96,0.6658291457286432,débil,b- (tope liquidez),0.19493670886075948,7.714285714285714
ENEL,2023,16.6,4.9,1.03,1.52,1.95,3.91,1.63,29.6,5.45,6.63,13.97,4.56,2.18,1.01,1.97,2.81,2.81,3.29,0.11,1.5,15.63,27.99,5.93,0.36,0.12,0.66,0.38,3.9,0.82,0.06,0.25,0.28,16.6,5.93,0.6593591905564925,3.901315789473684,0.3572289156626506,1,4,2,modest,a+/a,strong,bbb+,0.2,0.5,2.95,4.58,7.800000000000001,0.5871794871794871,débil,b- (tope liquidez),0.3887468030690537,3.901315789473684
ENEL,2024,16.93,4.61,1.13,1.21,2.36,3.02,1.26,30.9,4.6,5.31,15.24,4.2,2.04,1.1,1.56,2.4,1.85,3.49,0.12,1.38,15.65,29.39,5.74,0.34,0.14,0.53,0.31,4.74,0.87,0.04,0.24,0.2,16.93,5.74,0.5261324041811847,4.743801652892563,0.3390431187241583,1,4,2,modest,a+/a,strong,bbb+,0.2,0.5,3.0800000000000005,4.340000000000001,6.289999999999999,0.6899841017488079,débil,b- (tope liquidez),0.40066225165562913,4.743801652892563
ENEL,2025,15.9,6.05,1.15,1.4,3.18,2.43,1.15,31.59,3.88,5.03,15.52,6.22,1.45,0.96,1.05,3.0,2.06,3.72,0.11,1.14,16.07,30.35,7.2,0.45,0.2,0.34,0.18,5.14,0.77,0.04,0.23,0.16,15.9,7.2,0.3375,5.142857142857143,0.4528301886792453,1,4,2,modest,a+/a,strong,bbb+,0.2,0.5,5.19,6.34,6.51,0.9738863287250384,débil,b- (tope liquidez),0.5761316872427983,5.142857142857142
EPM,2015,13.9,2.66,0.79,0.85,1.06,14.64,1.34,41.98,5.49,7.68,18.81,3.06,4.26,0.79,0.41,3.61,0.99,10.53,3.12,1.76,23.17,37.1,3.45,0.25,0.08,4.24,3.86,4.06,0.71,0.03,0.17,0.78,13.9,3.45,4.243478260869566,4.058823529411765,0.24820143884892087,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,2.25,3.59,8.86,0.4051918735891648,débil,b- (tope liquidez),0.05806010928961748,4.0588235294117645
EPM,2016,15.81,2.95,0.89,0.99,1.87,14.85,1.19,42.95,5.24,5.57,19.78,2.57,1.89,1.04,0.48,4.04,0.89,11.21,2.92,1.87,23.17,38.16,3.84,0.24,0.12,3.87,3.56,3.88,0.94,0.03,0.21,0.75,15.81,3.84,3.8671875,3.878787878787879,0.24288425047438328,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,2.32,3.51,6.819999999999999,0.5146627565982405,débil,b- (tope liquidez),0.06666666666666667,3.878787878787879
EPM,2017,14.95,3.65,0.95,1.02,2.33,16.96,1.19,47.31,5.44,7.31,20.87,3.22,2.84,1.12,0.71,4.42,1.4,11.51,3.06,2.08,26.44,42.17,4.6,0.31,0.16,3.69,3.43,4.51,0.74,0.03,0.16,0.81,14.95,4.6,3.686956521739131,4.509803921568627,0.3076923076923077,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,2.7699999999999996,3.9599999999999995,8.66,0.4572748267898383,débil,b- (tope liquidez),0.060141509433962265,4.5098039215686265
EPM,2018,16.31,3.63,0.99,1.05,2.42,20.83,1.58,52.49,7.19,9.39,22.04,3.29,4.81,1.27,0.74,3.8,1.63,13.39,3.03,2.32,30.45,47.14,4.62,0.28,0.15,4.51,4.17,4.4,0.77,0.03,0.17,0.95,16.31,4.62,4.508658008658008,4.4,0.2832618025751073,5,4,5,aggressive,bb,satisfactory,bb,2.1999999999999997,2.1999999999999997,2.6100000000000003,4.19,10.239999999999998,0.4091796875000001,débil,b- (tope liquidez),0.050408065290446474,4.4
EPM,2019,18.36,4.87,1.14,1.29,3.16,20.66,1.66,54.9,7.6,7.69,24.18,3.47,2.98,1.61,0.8,3.58,1.39,14.52,2.9,2.96,30.72,49.04,6.01,0.33,0.17,3.44,3.16,4.66,0.99,0.03,0.22,0.85,18.36,6.01,3.437603993344426,4.65891472868217,0.3273420479302832,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,3.5999999999999996,5.26,7.95,0.6616352201257861,débil,b- (tope liquidez),0.06243949661181026,4.658914728682171
EPM,2020,19.33,4.15,1.27,1.27,3.74,24.59,3.99,63.78,12.26,9.44,27.13,4.98,3.9,1.31,1.31,3.44,1.59,16.06,3.12,3.26,36.65,57.4,5.42,0.28,0.19,4.54,3.8,4.27,1.3,0.06,0.42,0.91,19.33,5.42,4.53690036900369,4.26771653543307,0.2803931712364201,5,4,5,aggressive,bb,satisfactory,bb,2.1999999999999997,2.1999999999999997,2.7999999999999994,6.789999999999999,8.93,0.7603583426651735,débil,b- (tope liquidez),0.0516470109800732,4.26771653543307
EPM,2021,24.83,5.8,1.35,1.43,3.28,25.77,4.02,67.78,14.58,9.72,28.75,4.28,3.12,1.5,1.05,4.59,1.45,18.13,3.22,3.54,39.03,61.02,7.15,0.29,0.13,3.6,3.04,5.0,1.5,0.06,0.41,0.9,24.83,7.15,3.604195804195804,5.000000000000001,0.2879581151832461,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,4.6000000000000005,8.620000000000001,9.16,0.941048034934498,débil,b- (tope liquidez),0.05549088086922778,5.0
EPM,2022,31.73,7.89,1.52,2.28,4.13,29.49,4.04,75.58,14.95,12.06,30.99,4.74,3.59,1.89,1.4,5.48,2.02,19.21,3.69,4.23,44.59,67.65,9.41,0.3,0.13,3.13,2.7,4.13,1.24,0.05,0.33,0.95,31.73,9.41,3.1339001062699254,4.12719298245614,0.29656476520642927,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,6.120000000000001,10.16,11.09,0.9161406672678089,débil,b- (tope liquidez),0.07731434384537131,4.12719298245614
EPM,2023,37.14,7.76,1.87,3.27,3.56,27.88,3.24,77.24,15.08,14.05,31.32,3.84,4.75,2.95,1.88,5.64,1.84,21.49,2.98,3.82,45.92,70.44,9.63,0.26,0.1,2.9,2.56,2.94,1.07,0.04,0.23,0.89,37.14,9.63,2.895119418483904,2.9449541284403673,0.25928917609046853,3,5,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,4.800000000000001,8.040000000000001,12.23,0.6573998364677024,débil,b- (tope liquidez),0.11728837876614061,2.9449541284403673
EPM,2024,39.62,9.15,2.03,3.51,4.91,31.86,2.82,83.44,15.31,12.41,34.12,5.82,2.68,3.19,2.03,5.82,2.19,22.29,2.94,4.34,49.32,76.16,11.18,0.28,0.12,2.85,2.6,3.19,1.23,0.03,0.23,0.93,39.62,11.18,2.849731663685152,3.185185185185185,0.2821807168096921,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,5.960000000000001,8.780000000000001,10.69,0.8213283442469599,débil,b- (tope liquidez),0.11016949152542373,3.185185185185185
EPM,2025,38.12,10.28,2.08,3.53,5.34,32.22,4.34,87.23,17.03,12.88,36.69,6.44,4.28,3.22,2.12,5.53,2.84,24.05,2.67,4.17,50.54,80.39,12.36,0.32,0.14,2.61,2.26,3.5,1.32,0.05,0.34,0.88,38.12,12.36,2.6067961165048543,3.501416430594901,0.3242392444910808,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,7.019999999999999,11.36,12.65,0.8980237154150197,débil,b- (tope liquidez),0.1095592799503414,3.5014164305949014
ISA,2015,5.27,2.28,0.52,0.95,1.04,10.92,1.03,28.11,4.25,3.23,11.39,2.78,1.54,0.74,0.5,1.74,0.3,4.18,0.41,5.04,16.72,22.66,2.8,0.53,0.2,3.9,3.53,2.95,1.32,0.04,0.32,0.96,5.27,2.8,3.9000000000000004,2.9473684210526314,0.5313092979127135,4,5,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,1.5599999999999996,2.59,3.58,0.723463687150838,débil,b- (tope liquidez),0.08699633699633699,2.9473684210526314
ISA,2016,12.14,8.27,0.54,1.47,5.02,12.47,1.17,38.52,5.67,3.66,16.91,2.19,1.67,0.88,0.08,2.36,0.32,3.23,0.48,5.7,21.6,32.34,8.81,0.73,0.41,1.42,1.28,5.99,1.55,0.03,0.32,0.74,6.640000000000001,3.3100000000000005,3.767371601208459,2.2517006802721093,0.4984939759036145,4,5,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,2.3500000000000005,3.5200000000000005,4.35,0.8091954022988508,débil,b- (tope liquidez),0.11788291900561347,2.251700680272109
ISA,2017,6.95,3.99,0.56,1.02,2.34,15.69,1.53,43.41,6.42,3.11,18.42,2.9,1.6,0.68,0.92,2.27,0.86,3.23,0.37,6.05,24.98,36.99,4.55,0.65,0.34,3.45,3.11,4.46,2.06,0.04,0.49,0.85,6.95,4.55,3.4483516483516485,4.46078431372549,0.6546762589928057,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,2.9499999999999997,4.4799999999999995,4.73,0.9471458773784354,débil,b- (tope liquidez),0.06500956022944551,4.4607843137254894
ISA,2018,7.17,4.03,0.65,1.2,2.6,17.19,1.52,44.96,6.77,2.95,18.94,3.23,1.75,0.98,1.15,2.21,1.86,3.22,0.28,6.55,26.02,38.13,4.68,0.65,0.36,3.67,3.35,3.9,2.29,0.03,0.52,0.91,7.17,4.68,3.673076923076924,3.9,0.6527196652719665,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,2.55,4.07,5.82,0.6993127147766324,débil,b- (tope liquidez),0.06980802792321116,3.9000000000000004
ISA,2019,8.14,4.53,0.72,1.49,2.76,17.76,2.49,48.79,9.45,3.68,21.1,4.42,1.7,1.16,0.98,2.23,1.17,3.21,0.23,6.83,27.69,41.73,5.25,0.64,0.34,3.38,2.91,3.52,2.57,0.05,0.68,0.84,8.14,5.25,3.382857142857143,3.523489932885906,0.6449631449631449,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,3.11,5.6,5.1,1.0980392156862746,menos que adecuada,bb+ (tope liquidez),0.08389639639639639,3.5234899328859064
ISA,2020,9.11,5.69,0.86,1.54,3.76,22.47,3.78,54.03,9.71,3.4,20.15,2.91,1.27,1.33,0.91,2.98,1.25,3.21,0.66,7.45,33.88,45.92,6.55,0.72,0.41,3.43,2.85,4.25,2.86,0.07,1.11,1.12,9.11,6.55,3.430534351145038,4.253246753246753,0.7189901207464325,3,4,3,intermediate,bbb/bbb-,satisfactory,bbb/bbb-,0.5,0.5,4.31,8.09,5.5,1.470909090909091,adecuada,bbb/bbb-,0.06853582554517135,4.253246753246753
ISA,2021,11.12,6.09,0.9,2.1,3.2,27.94,4.69,61.7,10.67,4.97,22.13,3.69,2.87,1.05,0.7,1.63,3.04,3.2,0.37,9.87,39.57,51.45,6.99,0.63,0.29,4.0,3.33,3.33,2.15,0.08,0.94,1.26,11.12,6.99,3.9971387696709586,3.3285714285714287,0.6285971223021584,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,5.24,9.93,7.54,1.3169761273209548,adecuada,bbb-/bb+,0.07516105941302792,3.3285714285714283
ISA,2022,13.36,6.76,1.01,2.38,3.68,34.17,5.37,78.73,13.72,5.36,29.55,4.04,2.08,1.92,0.59,1.83,1.0,3.21,0.4,12.33,49.18,65.99,7.77,0.58,0.28,4.4,3.71,3.26,2.56,0.07,1.0,1.16,13.36,7.77,4.397683397683398,3.264705882352941,0.5815868263473054,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,5.26,10.629999999999999,4.91,2.164969450101833,excepcional,bbb-/bb+,0.06965174129353233,3.2647058823529416
ISA,2023,14.17,7.07,1.06,2.42,4.3,30.99,4.07,71.22,12.41,5.31,26.37,3.87,2.48,2.16,0.75,2.05,2.5,3.22,0.35,9.89,44.85,60.98,8.13,0.57,0.3,3.81,3.31,3.36,2.34,0.06,0.77,1.18,14.17,8.13,3.8118081180811805,3.359504132231405,0.5737473535638674,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,5.220000000000001,9.290000000000001,7.029999999999999,1.3214793741109534,adecuada,bbb-/bb+,0.07808970635688932,3.359504132231405
ISA,2024,14.93,7.87,1.03,2.26,4.93,34.31,5.92,77.0,13.54,5.62,28.27,3.56,2.49,2.02,0.58,1.58,2.06,3.23,0.65,10.78,48.73,65.57,8.9,0.6,0.33,3.86,3.19,3.94,2.41,0.08,1.05,1.21,14.93,8.9,3.855056179775281,3.9380530973451333,0.5961152042866712,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,6.300000000000001,12.22,6.130000000000001,1.9934747145187601,fuerte,bbb-/bb+,0.06587000874380645,3.9380530973451338
ISA,2025,15.92,6.84,1.08,2.51,3.91,33.79,4.47,76.13,11.72,4.59,28.31,2.55,1.75,2.25,0.81,1.71,2.33,3.24,0.6,9.25,47.82,66.28,7.92,0.5,0.25,4.27,3.7,3.16,2.55,0.06,0.97,1.19,15.92,7.92,4.266414141414141,3.155378486055777,0.49748743718592964,4,4,4,significant,bbb-/bb+,satisfactory,bbb-/bb+,0.5,0.5,4.859999999999999,9.329999999999998,5.79,1.6113989637305697,fuerte,bbb-/bb+,0.07428233205090264,3.155378486055777
ISAGEN,2015,2.84,0.97,0.24,0.52,0.3,3.74,0.36,8.91,0.98,0.68,3.46,0.69,0.31,0.32,0.08,0.3,0.48,1.28,0.0,0.07,5.45,8.84,1.21,0.43,0.11,3.09,2.79,2.33,1.44,0.04,0.53,1.08,2.84,1.21,3.0909090909090913,2.3269230769230766,0.426056338028169,4,5,4,significant,bb,fair,bbb-/bb+,2.1999999999999997,0.5,0.8099999999999999,1.17,1.0899999999999999,1.073394495412844,menos que adecuada,bb,0.13903743315508021,2.3269230769230766
ISAGEN,2016,2.75,0.61,0.24,0.4,0.14,3.68,0.4,8.3,0.96,0.47,3.59,0.2,0.28,0.43,0.11,0.13,0.0,1.28,0.0,0.07,4.71,8.23,0.85,0.31,0.05,4.33,3.86,2.12,2.04,0.05,0.85,1.03,2.75,0.85,4.329411764705883,2.125,0.3090909090909091,5,5,5,aggressive,bb-,fair,bb,2.1999999999999997,2.1999999999999997,0.31,0.71,0.41000000000000003,1.7317073170731705,fuerte,bb-,0.10869565217391304,2.125
ISAGEN,2017,2.35,0.94,0.16,0.42,0.35,3.45,0.16,19.24,0.62,0.57,5.49,0.81,0.32,0.34,0.08,0.08,0.52,1.27,2.69,0.07,13.76,16.48,1.1,0.47,0.15,3.14,2.99,2.62,1.09,0.01,0.28,0.63,2.35,1.1,3.1363636363636362,2.6190476190476195,0.46808510638297873,4,5,4,significant,bb,fair,bbb-/bb+,2.1999999999999997,0.5,0.68,0.8400000000000001,0.92,0.9130434782608696,débil,b- (tope liquidez),0.1217391304347826,2.6190476190476195
ISAGEN,2018,2.65,1.29,0.2,1.05,0.45,4.44,0.09,18.99,0.65,0.97,5.91,0.29,0.7,1.03,0.09,0.07,0.0,1.27,2.69,0.08,13.08,16.22,1.49,0.56,0.17,2.98,2.92,1.42,0.67,0.0,0.09,0.75,2.65,1.49,2.9798657718120807,1.419047619047619,0.5622641509433962,3,6,4,significant,bb,fair,bbb-/bb+,2.1999999999999997,0.5,0.37,0.45999999999999996,0.77,0.5974025974025974,débil,b- (tope liquidez),0.23648648648648649,1.4190476190476191
ISAGEN,2019,3.18,1.67,0.23,0.98,0.5,5.52,0.14,18.86,0.73,0.44,5.49,0.78,0.17,0.94,0.1,0.05,0.9,1.27,2.69,0.08,13.37,16.09,1.9,0.6,0.16,2.91,2.83,1.94,1.66,0.01,0.32,1.01,3.18,1.9,2.9052631578947365,1.9387755102040816,0.5974842767295597,3,6,4,significant,bb,fair,bbb-/bb+,2.1999999999999997,0.5,0.86,1.0,1.12,0.8928571428571428,débil,b- (tope liquidez),0.17753623188405798,1.9387755102040818
